filename,old_query,new_query
mshta.yml,"(SrcProcName = ""mshta.exe"" and EventType = ""Open Remote Process Handle"") OR (SrcProcName = ""mshta.exe"" AND SrcProcCmdLine RegExp ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"")","(src.process.name = ""mshta.exe"" and event.type = ""Open Remote Process Handle"") OR (src.process.name = ""mshta.exe"" AND src.process.cmdline matches ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"")"
msiexec_remote_msi.yml,"( SrcProcName = ""msiexec.exe"" AND SrcProcCmdLine RegExp ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"" ) OR (SrcProcName RegExp ""^.*\.(tmp)"" AND EventType = ""Open Remote Process Handle"" AND SrcProcParentName = ""msiexec.exe"")","( src.process.name = ""msiexec.exe"" AND src.process.cmdline matches ""https?:\/\/(www\.)?[-a-zA-Z0-9@:%._\+~#=]{1,256}\.[a-zA-Z0-9()]{1,6}\b([-a-zA-Z0-9()@:%_\+.~#?&//=]*)"" ) OR (src.process.name matches ""^.*\.(tmp)"" AND event.type = ""Open Remote Process Handle"" AND SrcProcParentName = ""msiexec.exe"")"
netsh_helper_dll.yml,"(TgtProcName = ""netsh.exe"" AND TgtProcCmdLine ContainsCIS ""add helper"") OR (RegistryPath ContainsCIS ""SOFTWARE\Microsoft\NetSh"" AND EventType = ""Registry Value Create"")","(tgt.process.name = ""netsh.exe"" AND tgt.process.cmdline contains ""add helper"") OR (RegistryPath contains ""SOFTWARE\Microsoft\NetSh"" AND event.type = ""Registry Value Create"")"
network_sniffing.yml,"TgtProcName = ""netsh.exe"" and TgtProcCmdLine ContainsCIS ""trace start"" ) OR ProcessName = ""tshark.exe""","tgt.process.name = ""netsh.exe"" and tgt.process.cmdline contains ""trace start"" ) OR ProcessName = ""tshark.exe"""
non_windows_control_panel_item.yml,"(TgtFileExtension = ""cpl"" AND TgtFilePath Does Not ContainCIS ""C:\Windows"" AND TgtFilePath Does Not ContainCIS ""C:\Program Files"" AND TgtFilePath Does Not ContainCIS ""C:\$WINDOWS.~BT"") OR (SrcProcName = ""control.exe"" AND SrcProcCmdLine ContainsCIS "".cpl"" AND SrcProcCmdLine Does Not ContainCIS ""C:\Windows"")","(TgtFileExtension = ""cpl"" AND TgtFilePath Does Not ContainCIS ""C:\Windows"" AND TgtFilePath Does Not ContainCIS ""C:\Program Files"" AND TgtFilePath Does Not ContainCIS ""C:\$WINDOWS.~BT"") OR (src.process.name = ""control.exe"" AND src.process.cmdline contains "".cpl"" AND src.process.cmdline Does Not ContainCIS ""C:\Windows"")"
ntds_copy.yml,"SrcProcCmdline RegExp ""^.*copy.*\\Windows\\NTDS\\NTDS.dit.*"" OR SrcProcCmdline RegExp ""^.*copy.*\\Windows\\System32\\config\\SYSTEM .*"" OR SrcProcCmdline ContainsCIS ""save HKLM\SYSTEM"" OR (TgtProcName = ""ntdsutil.exe"" AND TgtProcCmdline ContainsCIS ""ac i ntds"") OR (TgtProcName = ""mklink.exe"" and  TgtProcCmdline RegExp ""^.*\/[d,D].*GLOBALROOT\\Device\\HarddiskVolumeShadowCopy.*"")","SrcProcCmdline matches ""^.*copy.*\\Windows\\NTDS\\NTDS.dit.*"" OR SrcProcCmdline matches ""^.*copy.*\\Windows\\System32\\config\\SYSTEM .*"" OR SrcProcCmdline contains ""save HKLM\SYSTEM"" OR (tgt.process.name = ""ntdsutil.exe"" AND TgtProcCmdline contains ""ac i ntds"") OR (tgt.process.name = ""mklink.exe"" and TgtProcCmdline matches ""^.*\/[d,D].*GLOBALROOT\\Device\\HarddiskVolumeShadowCopy.*"")"
open_local_port_on_defender_firewall.yml,"TgtProcName = ""netsh.exe"" AND TgtProcCmdLine ContainsCIS ""add rule"" AND TgtProcCmdLine ContainsCIS ""dir=in"" AND TgtProcCmdLine ContainsCIS ""localport=""","tgt.process.name = ""netsh.exe"" AND tgt.process.cmdline contains ""add rule"" AND tgt.process.cmdline contains ""dir=in"" AND tgt.process.cmdline contains ""localport="""
os_credential_dumping.yml,"RegistryKeyPath ContainsCIS ""\Services\NPPSpy"" OR IndicatorName In ( ""Mimikatz"", ""CredsReadFromLsass"", ""DumpSAM"", ""PasswordSniffingViaNetworkProvider"" )","registry.keyPath contains ""\Services\NPPSpy"" OR IndicatorName in ( ""Mimikatz"", ""CredsReadFromLsass"", ""DumpSAM"", ""PasswordSniffingViaNetworkProvider"" )"
outlook_vba_persistence.yml,"( EventType In(""File Creation"", ""File Modification"") AND TgtFilePath Contains Anycase ""\Roaming\Microsoft\Outlook"" AND TgtFilePath EndsWith Anycase "".otm"" ) OR ( EventType In (""Registry Value Create"",""Registry Value Modified"") AND RegistryKeyPath ContainsCIS ""Outlook\Security\Level"" )","( event.type in(""File Creation"", ""File Modification"") AND TgtFilePath contains Anycase ""\Roaming\Microsoft\Outlook"" AND TgtFilePath EndsWith Anycase "".otm"" ) OR ( event.type in (""Registry Value Create"",""Registry Value Modified"") AND registry.keyPath contains ""Outlook\Security\Level"" )"
parent_pid_spoofing.yml,"(TgtProcRelation = ""not_in_storyline"" AND EventType = ""Open Remote Process Handle"" AND SrcProcParentName In Contains Anycase (""userinit.exe"",""powershell.exe"",""cmd.exe"") AND TgtProcName != ""sihost.exe"" And TgtProcIntegrityLevel  != ""LOW"" AND TgtProcName Not In (""SystemSettings.exe"")) OR (SrcProcCmdScript ContainsCIS ""PPID-Spoof"" AND SrcProcCmdScript ContainsCIS ""hSpoofParent = [Kernel32]::OpenProcess"")","(TgtProcRelation = ""not_in_storyline"" AND event.type = ""Open Remote Process Handle"" AND SrcProcParentName in contains Anycase (""userinit.exe"",""powershell.exe"",""cmd.exe"") AND tgt.process.name != ""sihost.exe"" And TgtProcIntegrityLevel != ""LOW"" AND tgt.process.name Not in (""SystemSettings.exe"")) OR (SrcProcCmdScript contains ""PPID-Spoof"" AND SrcProcCmdScript contains ""hSpoofParent = [Kernel32]::OpenProcess"")"
pass_the_hash_and_pass_the_ticket.yml,"TgtProcCmdLine In Contains Anycase (""sekurlsa::pth"",""/ntlm:"",""kerberos::ptt"")","tgt.process.cmdline in contains Anycase (""sekurlsa::pth"",""/ntlm:"",""kerberos::ptt"")"
powershell_download_cradles.yml,"(SrcProcCmdLine In Contains Anycase (""Net.WebClient"",""(iwr"",""DownloadString("",""WinHttp.WinHttpRequest"",""IEX ("",""InternetExplorer.Application"",""Msxml2.XMLHTTP"",""MSXML2.ServerXMLHTTP"") OR SrcProcCmdScript In Contains Anycase (""Net.WebClient"",""(iwr"",""DownloadString("",""WinHttp.WinHttpRequest"",""IEX ("",""InternetExplorer.Application"",""Msxml2.XMLHTTP"",""MSXML2.ServerXMLHTTP""))","(src.process.cmdline in contains Anycase (""Net.WebClient"",""(iwr"",""DownloadString("",""WinHttp.WinHttpRequest"",""IEX ("",""InternetExplorer.Application"",""Msxml2.XMLHTTP"",""MSXML2.ServerXMLHTTP"") OR SrcProcCmdScript in contains Anycase (""Net.WebClient"",""(iwr"",""DownloadString("",""WinHttp.WinHttpRequest"",""IEX ("",""InternetExplorer.Application"",""Msxml2.XMLHTTP"",""MSXML2.ServerXMLHTTP""))"
powershell_gui_input_capture.yml,"(TgtProcCmdline ContainsCIS "".UI.PromptForCredential("" AND TgtProcCmdline ContainsCIS  "".GetNetworkCredential().Password"") OR (SrcProcCmdScript ContainsCIS "".UI.PromptForCredential("" AND SrcProcCmdScript ContainsCIS  "".GetNetworkCredential().Password"")","(TgtProcCmdline contains "".UI.PromptForCredential("" AND TgtProcCmdline contains "".GetNetworkCredential().Password"") OR (SrcProcCmdScript contains "".UI.PromptForCredential("" AND SrcProcCmdScript contains "".GetNetworkCredential().Password"")"
powershell_http_form_submission.yml,"SrcProcCmdLine ContainsCIS ""Invoke-WebRequest"" AND (SrcProcCmdLine ContainsCIS ""-Method Put"" OR SrcProcCmdLine ContainsCIS ""-Method Post"")","src.process.cmdline contains ""Invoke-WebRequest"" AND (src.process.cmdline contains ""-Method Put"" OR src.process.cmdline contains ""-Method Post"")"
powershell_keylogging.yml,"TgtProcCmdline ContainsCIS ""Get-Keystrokes"" OR SrcProcCmdScript ContainsCIS ""user32.dll GetAsyncKeyState"" OR SrcProcCmdScript ContainsCIS ""[Windows.Forms.Keys][Runtime.InteropServices.Marshal]::ReadInt32(""","TgtProcCmdline contains ""Get-Keystrokes"" OR SrcProcCmdScript contains ""user32.dll GetAsyncKeyState"" OR SrcProcCmdScript contains ""[Windows.Forms.Keys][Runtime.InteropServices.Marshal]::ReadInt32("""
powershell_time_stomping.yml,"SrcProcCmdScript In Contains Anycase (""[IO.File]::SetCreationTime"",""[IO.File]::SetLastAccessTime"",""[IO.File]::SetLastWriteTime"")","SrcProcCmdScript in contains Anycase (""[IO.File]::SetCreationTime"",""[IO.File]::SetLastAccessTime"",""[IO.File]::SetLastWriteTime"")"
PrintNightmare.yml,"TgtFilePath RegExp ""(?i)C:\\Windows\\System32\\spool\\drivers\\x64\\3\\old\\([^1|2].*\.dll)"" OR TgtFilePath RegExp ""(?i)\\(MyExploit|evil|addCube|rev|rev2|main64|mimilib)\.dll$""","TgtFilePath matches ""(?i)C:\\Windows\\System32\\spool\\drivers\\x64\\3\\old\\([^1|2].*\.dll)"" OR TgtFilePath matches ""(?i)\\(MyExploit|evil|addCube|rev|rev2|main64|mimilib)\.dll$"""
process_hollowing.yml,"--- Detect Start-Hollow.ps1 by command or content
(SrcProcCmdScript ContainsCIS ""Start-Hollow"" AND SrcProcCmdScript ContainsCIS ""[Hollow]::NtQueryInformationProcess"") OR TgtProcCmdLine ContainsCIS ""Start-Hollow""","--- Detect Start-Hollow.ps1 by command or content (SrcProcCmdScript contains ""Start-Hollow"" AND SrcProcCmdScript contains ""[Hollow]::NtQueryInformationProcess"") OR tgt.process.cmdline contains ""Start-Hollow"""
process_injection.yml,"(TgtProcName = ""mavinject.exe"" AND TgtProcCmdLine ContainsCIS ""/injectrunning"") AND (SrcProcName Not In (""AppVClient.exe"") AND SrcProcParentName Not In (""smss.exe""))","(tgt.process.name = ""mavinject.exe"" AND tgt.process.cmdline contains ""/injectrunning"") AND (src.process.name Not in (""AppVClient.exe"") AND SrcProcParentName Not in (""smss.exe""))"
rdp_hijacking.yml,"SrcProcName = ""tscon.exe"" AND SrcProcCmdLine ContainsCIS ""/dest:""","src.process.name = ""tscon.exe"" AND src.process.cmdline contains ""/dest:"""
registry_credential_enumeration.yml,"TgtProcCmdline ContainsCIS ""query HKLM /f password /t REG_SZ /s"" OR TgtProcCmdline ContainsCIS ""query HKCU /f password /t REG_SZ /s"" OR TgtProcCmdline ContainsCIS ""query HKCU\Software\SimonTatham\PuTTY\Sessions /t REG_SZ /s""","TgtProcCmdline contains ""query HKLM /f password /t REG_SZ /s"" OR TgtProcCmdline contains ""query HKCU /f password /t REG_SZ /s"" OR TgtProcCmdline contains ""query HKCU\Software\SimonTatham\PuTTY\Sessions /t REG_SZ /s"""
registry_run_keys.yml,"( RegistryKeyPath ContainsCIS ""Windows\CurrentVersion\Run"" AND EventType = ""Registry Key Create"" ) AND SrcProcParentName Not In (""smss.exe"",""svchost.exe"",""SetupHost.exe"",""OneDriveSetup.exe"",""WindowsUpdateBox.exe"")","( registry.keyPath contains ""Windows\CurrentVersion\Run"" AND event.type = ""Registry Key Create"" ) AND SrcProcParentName Not in (""smss.exe"",""svchost.exe"",""SetupHost.exe"",""OneDriveSetup.exe"",""WindowsUpdateBox.exe"")"
remove_amsi_provider_reg_key.yml,"RegistryPath ContainsCIS ""\Microsoft\AMSI\Providers"" AND EventType In (""Registry Key Delete"",""Registry Value Delete"")","RegistryPath contains ""\Microsoft\AMSI\Providers"" AND event.type in (""Registry Key Delete"",""Registry Value Delete"")"
rundll32_possible_cobalt_strike.yml,"( SrcProcName In AnyCase  ( ""rundll32.exe"" ) AND SrcProcCmdLine IS EMPTY ) OR ( SrcProcName In AnyCase  ( ""rundll32.exe"" ) AND NetConnOutCount > ""0"" AND SrcProcParentName Not In  ( ""splwow64.exe"" ) AND SrcProcParentName Not In  ( ""msiexec.exe"" ) AND SrcProcCmdLine RegExp "".*((?!C:\\windows\\system32\\spool\\DRIVERS\\.*,MonitorPrintJobStatus))$/gmi"" )","( src.process.name in:anycase ( ""rundll32.exe"" ) AND src.process.cmdline IS EMPTY ) OR ( src.process.name in:anycase ( ""rundll32.exe"" ) AND NetConnOutCount > ""0"" AND SrcProcParentName Not in ( ""splwow64.exe"" ) AND SrcProcParentName Not in ( ""msiexec.exe"" ) AND src.process.cmdline matches "".*((?!C:\\windows\\system32\\spool\\DRIVERS\\.*,MonitorPrintJobStatus))$/gmi"" )"
scheduledtaskregister.yml,"IndicatorName = ""ScheduleTaskRegister"" AND SrcProcParentName Not In (""Integrator.exe"",""OfficeClickToRun.exe"",""services.exe"",""OneDriveSetup.exe"",""Ccm32BitLauncher.exe"",""WmiPrvSE.exe"")","IndicatorName = ""ScheduleTaskRegister"" AND SrcProcParentName Not in (""Integrator.exe"",""OfficeClickToRun.exe"",""services.exe"",""OneDriveSetup.exe"",""Ccm32BitLauncher.exe"",""WmiPrvSE.exe"")"
scheduled_tasks_creation.yml,"(( TgtProcName = ""schtasks.exe"" AND TgtProcCmdLine ContainsCIS ""/create"" ) OR ( SrcProcCmdLine ContainsCIS ""New-ScheduledTask"" OR SrcProcCmdScript  ContainsCIS ""New-ScheduledTask"" )) AND SrcProcParentName Not In (""services.exe"",""OfficeClickToRun.exe"")","(( tgt.process.name = ""schtasks.exe"" AND tgt.process.cmdline contains ""/create"" ) OR ( src.process.cmdline contains ""New-ScheduledTask"" OR SrcProcCmdScript contains ""New-ScheduledTask"" )) AND SrcProcParentName Not in (""services.exe"",""OfficeClickToRun.exe"")"
screensaver_change.yml,"RegistryKeyPath ContainsCIS ""Control Panel\Desktop\SCRNSAVE.EXE"" AND (EventType In (""Registry Value Create"",""Registry Value Modified"") AND SrcProcName Not In (""svchost.exe"",""SetupHost.exe"",""CcmExec.exe""))","registry.keyPath contains ""Control Panel\Desktop\SCRNSAVE.EXE"" AND (event.type in (""Registry Value Create"",""Registry Value Modified"") AND src.process.name Not in (""svchost.exe"",""SetupHost.exe"",""CcmExec.exe""))"
scripted_lateral_rdp.yml,"TgtProcName = ""cmdkey.exe"" AND TgtProcCmdLine ContainsCIS ""/generic:TERMSRV"" AND TgtProcCmdLine ContainsCIS ""/user:"" AND TgtProcCmdLine ContainsCIS ""/pass:""","tgt.process.name = ""cmdkey.exe"" AND tgt.process.cmdline contains ""/generic:TERMSRV"" AND tgt.process.cmdline contains ""/user:"" AND tgt.process.cmdline contains ""/pass:"""
secure_delete_data_destruction.yml,"TgtProcDisplayName = ""Secure file delete""","TgtProcDisplayName = ""Secure file delete"""
security_support_provider.yml,"RegistryKeyPath ContainsCIS ""\Control\Lsa\Security Packages"" AND (SrcProcName Not In (""services.exe"",""SetupHost.exe"",""svchost.exe"") AND SrcProcCmdLine Does Not ContainCIS ""system32\wsauth.dll"")","registry.keyPath contains ""\Control\Lsa\Security Packages"" AND (src.process.name Not in (""services.exe"",""SetupHost.exe"",""svchost.exe"") AND src.process.cmdline Does Not ContainCIS ""system32\wsauth.dll"")"
service_created.yml,"TgtProcName = ""sc.exe"" AND TgtProcCmdLine Contains ""binPath=""","tgt.process.name = ""sc.exe"" AND tgt.process.cmdline contains ""binPath="""
service_disabled.yml,"(TgtProcName = ""WMIC.exe"" AND TgtProcCmdLine ContainsCIS ""call ChangeStartmode Disabled"") OR (TgtProcName = ""sc.exe"" AND TgtProcCmdLine ContainsCIS ""disabled"") OR (TgtProcCmdLine ContainsCIS ""Set-Service"" AND TgtProcCmdLine ContainsCIS ""-StartupType Disabled"")","(tgt.process.name = ""WMIC.exe"" AND tgt.process.cmdline contains ""call ChangeStartmode Disabled"") OR (tgt.process.name = ""sc.exe"" AND tgt.process.cmdline contains ""disabled"") OR (tgt.process.cmdline contains ""Set-Service"" AND tgt.process.cmdline contains ""-StartupType Disabled"")"
service_started.yml,"(( SrcProcName = ""sc.exe"" AND SrcProcCmdLine ContainsCIS ""create"" ) OR SrcProcCmdLine ContainsCIS ""Start-Service"" ) AND SrcProcParentName != ""services.exe""","(( src.process.name = ""sc.exe"" AND src.process.cmdline contains ""create"" ) OR src.process.cmdline contains ""Start-Service"" ) AND SrcProcParentName != ""services.exe"""
startup_folder_persistence.yml,"FileFullName ContainsCIS ""Programs\Startup"" AND FileType In Contains Anycase (""vbs"",""jse"",""bat"") AND EventType = ""File Creation""","FileFullName contains ""Programs\Startup"" AND FileType in contains Anycase (""vbs"",""jse"",""bat"") AND event.type = ""File Creation"""
startup_shortcuts.yml,"(FileFullName ContainsCIS ""Microsoft\Windows\Start Menu\Programs\Startup"" AND TgtFileExtension In Contains (""lnk"",""url"") AND EventType = ""File Creation"") AND SrcProcName Not In (""ONENOTE.EXE"",""msiexec.exe"")","(FileFullName contains ""Microsoft\Windows\Start Menu\Programs\Startup"" AND TgtFileExtension in contains (""lnk"",""url"") AND event.type = ""File Creation"") AND src.process.name Not in (""ONENOTE.EXE"",""msiexec.exe"")"
unquoted_service_path_for_program.exe.yml,"(FileFullName = ""C:\program.exe"" AND EventType In (""File Creation"",""File Modification"")) OR TgtProcImagePath = ""C:\program.exe""","(FileFullName = ""C:\program.exe"" AND event.type in (""File Creation"",""File Modification"")) OR TgtProcImagePath = ""C:\program.exe"""
vbs_execution_from_temp.yml,"SrcProcName = ""cscript.exe"" AND SrcProcCmdLine RegExp ""\bTemp\b.*\.(vbs)""","src.process.name = ""cscript.exe"" AND src.process.cmdline matches ""\bTemp\b.*\.(vbs)"""
web_shell_creation.yml,"EventType = ""File Creation"" AND FileFullName ContainsCIS ""inetpub\wwwroot"" AND TgtFileExtension In Contains Anycase (""jsp"",""aspx"",""php"") AND SrcProcName Not In (""explorer.exe"",""msdeploy.exe"")","event.type = ""File Creation"" AND FileFullName contains ""inetpub\wwwroot"" AND TgtFileExtension in contains Anycase (""jsp"",""aspx"",""php"") AND src.process.name Not in (""explorer.exe"",""msdeploy.exe"")"
windows_logon_scripts.yml,"SrcProcCmdLine ContainsCIS ""UserInitMprLogonScript"" OR (RegistryKeyPath ContainsCIS ""UserInitMprLogonScript"" AND EventType = ""Registry Value Create"")","src.process.cmdline contains ""UserInitMprLogonScript"" OR (registry.keyPath contains ""UserInitMprLogonScript"" AND event.type = ""Registry Value Create"")"
windows_management_instrumentation.yml,"( SrcProcName = ""WMIC.exe"" AND SrcProcCmdLine In Contains Anycase (""useraccount get"",""process get"",""qfe get"",""service where"",""process call"",""call create"") ) AND SrcProcParentName Not In (""msiexec.exe"")","( src.process.name = ""WMIC.exe"" AND src.process.cmdline in contains Anycase (""useraccount get"",""process get"",""qfe get"",""service where"",""process call"",""call create"") ) AND SrcProcParentName Not in (""msiexec.exe"")"
windows_management_instrumentation_event_subscription.yml,"SrcProcCmdLine ContainsCIS ""New-CimInstance -Namespace root/subscription"" OR SrcProcCmdScript ContainsCIS ""New-CimInstance -Namespace root/subscription""","src.process.cmdline contains ""New-CimInstance -Namespace root/subscription"" OR SrcProcCmdScript contains ""New-CimInstance -Namespace root/subscription"""
windows_remote_management_execution.yml,"(TgtProcCmdLine ContainsCIS ""GetTypeFromProgID("" AND TgtProcCmdLine ContainsCIS ""MMC20.application"" AND TgtProcCmdLine ContainsCIS "".Document.ActiveView.ExecuteShellCommand("") OR (TgtProcName = ""wmic.exe"" AND TgtProcCmdLine ContainsCIS ""/node:"" AND TgtProcCmdLine ContainsCIS ""process call create"") OR ((SrcProcName ContainsCIS ""psexec.exe"" OR SrcProcDisplayName = ""Execute processes remotely"") AND DstIp Is Not Empty)","(tgt.process.cmdline contains ""GetTypeFromProgID("" AND tgt.process.cmdline contains ""MMC20.application"" AND tgt.process.cmdline contains "".Document.ActiveView.ExecuteShellCommand("") OR (tgt.process.name = ""wmic.exe"" AND tgt.process.cmdline contains ""/node:"" AND tgt.process.cmdline contains ""process call create"") OR ((src.process.name contains ""psexec.exe"" OR SrcProcDisplayName = ""Execute processes remotely"") AND dst.ip Is Not Empty)"
windows_service_creation.yml,"TgtProcName = ""sc.exe"" AND TgtProcCmdLine Contains ""binPath=""","tgt.process.name = ""sc.exe"" AND tgt.process.cmdline contains ""binPath="""
windows_share_creation.yml,"TgtProcCmdLine ContainsCIS ""New-PSDrive"" OR (TgtProcName = ""net.exe"" AND TgtProcCmdLine ContainsCIS ""use "")","tgt.process.cmdline contains ""New-PSDrive"" OR (tgt.process.name = ""net.exe"" AND tgt.process.cmdline contains ""use "")"
winlogon_helper_dll.yml,"IndicatorMetadata In Contains Anycase (""Microsoft\Windows NT\CurrentVersion\Winlogon"",""Microsoft\Windows NT\CurrentVersion\Winlogon\Notify"") AND IndicatorMetadata In Contains Anycase (""logon"",""Userinit"",""Shell"") AND IndicatorMetadata Does Not ContainCIS ""WINDOWS\system32\userinit.exe""","IndicatorMetadata in contains Anycase (""Microsoft\Windows NT\CurrentVersion\Winlogon"",""Microsoft\Windows NT\CurrentVersion\Winlogon\Notify"") AND IndicatorMetadata in contains Anycase (""logon"",""Userinit"",""Shell"") AND IndicatorMetadata Does Not ContainCIS ""WINDOWS\system32\userinit.exe"""
